Frequency,Unloaded,30 Ohms,150 Ohms
1,1.800,0.140,0.880
2,4.140,0.576,3.100
3,5.720,1.100,4.960
4,6.760,1.580,6.160
5,7.400,2.000,6.920
6,7.800,2.300,7.480
7,8.160,2.500,7.770
8,8.400,2.670,8.160
9,8.520,2.800,8.320
10,8.700,2.890,8.480
20,9.040,3.290,9.000
30,9.100,3.360,9.040
40,9.200,3.400,9.040
50,9.200,3.430,9.100
60,9.200,3.450,9.180
70,9.280,3.470,9.200
80,9.320,3.500,9.250
90,9.360,3.500,9.300
100,9.360,3.510,9.360
200,9.360,3.510,9.280
300,9.360,3.510,9.200
400,9.280,3.510,9.200
500,9.280,3.510,9.200
600,9.280,3.510,9.200
700,9.280,3.510,9.200
800,9.280,3.510,9.200
900,9.280,3.510,9.200
1000,9.280,3.510,9.200
2000,9.280,3.510,9.200
3000,9.280,3.510,9.200
4000,9.280,3.480,9.200
5000,9.280,3.480,9.200
6000,9.280,3.480,9.200
7000,9.280,3.480,9.200
8000,9.280,3.480,9.200
9000,9.280,3.480,9.200
10000,9.280,3.480,9.200
15000,9.280,3.480,9.200
20000,9.280,3.450,9.200
30000,9.200,3.430,9.100
40000,9.040,3.390,9.040
50000,9.040,3.350,9.000
60000,8.900,3.300,8.800
70000,8.800,3.270,8.720
80000,8.600,3.210,8.500
90000,8.440,3.130,8.400
100000,8.300,3.070,8.200
150000,7.260,2.720,7.200
200000,6.420,2.400,6.360
300000,5.000,1.880,4.960
400000,3.900,1.500,4.000
500000,3.240,1.200,3.360
600000,2.740,1.030,2.760
700000,2.440,,2.440
800000,2.220,,2.240
900000,2.020,,2.040
1000000,1.880,,1.900
